estimate,lower,upper,des_effect,se,n,age,var,survey_id,kp,survey_id2,sex,iso3,year,totpop,genpop_estimate,ageratio
0.135486211535928,0.121669758817591,0.149302664254265,0.238857179388892,0.00704934010385869,71,20,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,131647.7031,0.01984635184149634,6.826756505074277
0.0790291276340112,0.0544776375387035,0.103580617729319,1.2137656464656,0.0125265006341783,39,21,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,128338.4609,0.01934747200171638,4.084726295352708
0.0602866240953771,0.0373329675603979,0.0832402806303562,1.36301174045764,0.0117112644497729,36,22,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,124809.4141,0.01881545584945047,3.204101169684807
0.0808958423681622,0.0646333746725101,0.0971583100638144,0.521307741376499,0.00829732986112418,40,23,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,121187.9531,0.018269507933202648,4.4279157744113995
0.0582790725579889,0.0526286183894915,0.0639295267264862,0.0852597534806557,0.00288293775450336,33,24,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,117479.4844,0.017710443301763766,3.290661423036483
0.0566839558717395,0.0352319198967717,0.0781359918467074,1.26133914391465,0.0109451174328604,38,25,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,113721.1953,0.017143868070716987,3.3063691133134623
0.0252901080836021,-0.00131664882700079,0.0518968649942051,4.20891385828516,0.0135751254209127,16,26,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,109937.9297,0.016573527544909285,1.52593393380338
0.0264254112494822,0.00247954850549928,0.0503712739934652,3.26649656481898,0.0122175014096508,19,27,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,106238.2422,0.016015786710093415,1.6499602378463536
0.0461983889099894,0.0327980993846567,0.0595986784353222,0.597249361557574,0.00683700804251126,32,28,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,102580.8906,0.015464428160324235,2.98739716923492
0.032206017796114,0.0111789053421652,0.0532331302500629,2.07898588901617,0.0107283157342727,17,29,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,98939.34375,0.014915452231914038,2.1592384391271744
0.0316051702335477,0.0248011717673615,0.0384091686997339,0.22168179579248,0.00347149157834291,20,30,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,95205.1875,0.014352515112438973,2.2020649332851963
0.00440854802391197,-0.00130942177631021,0.0101265178241341,1.09173992338223,0.00291738513836213,3,31,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,91201.67969,0.013748972302906746,0.32064564003666907
0.0075640712374561,-0.0101229689283203,0.0252511114032325,6.1075136763356,0.00902416590574597,6,32,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,87031.13281,0.01312024776914817,0.5765189324581784
0.00578621928138446,0.00383269134899387,0.00773974721377504,0.0972247414180998,9.96716239583873e-4,3,33,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,82883.67188,0.012495003523123497,0.46308264504898855
0.0177719592213951,0.00528353345699598,0.0302603849857943,1.30942301393991,0.006371762880801,14,35,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,75454.51562,0.011375032224350302,1.562365615400282
0.00160728313371791,-0.0149259619452949,0.0181405282127307,24.9651757769089,0.00843548412594566,2,36,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,72190.14062,0.01088291627194836,0.1476886427823412
0.00303087676643948,-0.0122279458999907,0.0182896994328696,11.2928686736518,0.00778525666123959,2,37,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,69346.10156,0.010454167433141474,0.2899204346805361
0.0094600093013111,0.00398120021232378,0.0149388183902984,0.469484188707638,0.00279536212512243,8,38,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,66888.82031,0.01008372368735149,0.9381464223555882
0.00333396444308343,-0.00400454297535219,0.010672471861519,2.375292326035,0.00374420523862726,3,39,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,64686.47656,0.009751712661642827,0.3418850163825246
0.00661282203586795,-8.62948213305933e-4,0.0140885922850418,1.2468629472609,0.00381423858200549,5,40,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,62612.01562,0.009438980416968508,0.7005864769016834
0.00283406658680055,-0.00124410176608903,0.00691223493969013,0.862511769777844,0.00208073637324852,2,45,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,52292.08594,0.007883214911107732,0.3595064474022202
0.00275534251494498,-0.00154407564738299,0.00705476067727295,0.985948599692328,0.002193621003366,1,47,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,48651.29297,0.007334352632745154,0.37567630749623376
9.1844750498166e-4,-0.00442741099518769,0.00626430600515101,4.56448571752422,0.00272752894560145,1,55,age1,SSD2019BBS,FSW,SSD2019BBS_FSW,female,SSD,2019,35675.17578,0.005378157566480995,0.17077363272244425
0.00868213643552472,-0.01269753613273,0.0300618090037794,6.24891782440121,0.0109081966489664,1,18,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,12039.42969,0.021449585534103668,0.404769426510391
0.018935326130811,-0.00962469957979703,0.0474953518414191,5.16641172652502,0.0145717094476663,7,19,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,11524.58984,0.02053234097324938,0.9222195440588554
0.0376225912206071,0.00343217858200905,0.0718130038592052,3.7988908343507,0.0174444086260195,14,20,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,11065.93945,0.0197152041965193,1.9083034010497
0.0338272572930777,0.0157891609820324,0.051865353604123,1.17139155239716,0.00920327947519827,17,21,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,10670.24023,0.019010221943728877,1.7794246376085414
0.0498762428716545,0.0147942227748867,0.0849582629684223,3.05588868414691,0.0178993187494721,19,22,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,10350.72656,0.018440972737541573,2.7046427312436703
0.0719499170213673,0.0490886874481088,0.0948111465946258,0.920957759144542,0.0116641069701204,24,23,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,10136.54102,0.018059377331555347,3.9840751815760793
0.0533083177141218,0.0291205981486523,0.0774960372795912,1.36404457728044,0.0123409000146223,22,24,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,10002.39941,0.017820389106077587,2.9914227684254753
0.0814976987916865,0.0420861393905198,0.120909258192853,2.44154029388,0.0201083079648606,32,25,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,9875.61621,0.017594510707954945,4.631995748244322
0.0393259437022434,0.0111773802764367,0.0674745071280501,2.46774060904588,0.0143617758529437,13,26,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,9670.70703,0.01722944217096405,2.282485022557348
0.0692159210276554,0.0541187412952806,0.0843131007600301,0.416273682713149,0.00770278426106776,24,27,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,9369.44629,0.016692712593477113,4.146475334074966
0.0441375190032353,0.0195436195000985,0.0687314185063721,1.68691697368825,0.012548138484753,27,28,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,9016.94238,0.01606468759866102,2.747486917013819
0.0751004801672888,0.0461860424539668,0.104014917880611,1.41623227487907,0.0147525352207466,27,29,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,8695.33789,0.015491713363665777,4.847783999375387
0.0636856969434034,0.0396915869015665,0.0876798069852404,1.13602524322869,0.0122421178302762,37,30,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,8490.6709,0.015127076315146863,4.21004664858036
0.0383308234681427,0.0144742788683052,0.0621873680679801,1.81670113632591,0.0121719300905602,20,31,age1,SWZ2020BBS,FSW,SWZ2020BBS_FSW,female,SWZ,2020,8431.09473,0.015020934729780017,2.5518267776072054
